,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
260,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,144.318
261,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,144.818
262,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,145.318
263,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,145.818
264,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,146.318
265,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,146.818
266,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,147.318
267,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,147.818
268,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,148.318
269,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,148.818
270,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,149.318
271,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,149.818
272,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,150.318
273,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,150.818
274,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,151.318
275,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,151.818
276,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,152.318
277,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,152.818
278,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,153.318
279,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,153.818
280,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,154.318
281,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,154.818
282,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,155.318
283,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,155.818
284,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,156.318
285,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,156.818
286,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,157.318
287,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,157.818
288,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,158.318
289,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,158.818
290,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,159.318
291,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,159.818
292,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,160.318
293,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,160.818
294,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,161.318
295,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,161.818
296,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,162.318
297,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,162.818
298,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,163.318
299,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,163.818
300,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,164.318
301,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,164.818
302,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,165.318
303,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,165.818
304,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,166.318
305,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,166.818
306,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,167.318
307,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,167.818
308,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,168.318
309,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,168.818
310,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,169.318
311,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,169.818
312,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,170.318
313,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,170.818
314,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,171.318
315,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,171.818
316,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,172.318
317,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,172.818
318,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,173.318
319,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,173.818
320,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,174.318
321,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,174.818
322,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,175.318
323,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,175.818
324,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,176.318
325,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,176.818
326,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,177.318
327,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,177.818
328,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,178.318
329,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,178.818
330,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,179.318
331,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,179.818
332,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,180.318
333,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,180.818
334,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,181.318
335,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,181.818
336,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,182.318
337,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,182.818
338,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,183.318
339,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,183.818
