,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 2,Child affect:positive 3,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:instruction translation,Verbal scaffolding:affective,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent gaze:robot or prop,Parent affect:positive 1,Parent affect:positive 2,Parent affect:positive 3,Parent gesture:other,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:try again,robot text:correction,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[5, 0.16625825663753172]","[3, 0.5427296966092305]","[2, 0.5783310107397925]","[4, 0.04230373584687701]","[4, 0.0858437382620447]","[5, 0.3944743752039939]","[1, 1.0]","[3, 0.25711095229895725]","[1, 1.0]","[3, 0.4076201545059218]","[4, 0.019377244713412723]","[1, 1.0]","[5, 0.7685333211578718]","[2, 0.21502147396187565]","[2, 0.42527008343654715]","[3, 0.7848452045433677]","[5, 0.9036331426965584]","[1, 1.0]","[3, 0.011182149014430013]","[4, 0.9401121264286367]","[100, 100]","[4, 0.18746436541447617]","[1, 0.19832870489106616]","[100, 100]","[1, 1.0]","[1, 0.10673689816536659]","[4, 0.5777675512463156]","[4, 0.22965083752076057]","[5, 0.12050170669404513]","[3, 0.049519898960512836]","[1, 1.0]","[5, 0.004621712181426031]","[4, 0.3535469381829013]","[1, 0.9989769449160247]","[5, 0.13819631636223179]","[1, 0.4645531456703499]","[5, 0.9989868637442074]","[1, 0.4805767591288843]"
Child gaze:robot,"[3, 0.0761700940822413]","[100, 100]","[2, 0.0002120376904499622]","[2, 1.1371678262691469e-21]","[2, 0.8304872155141103]","[1, 0.0008311984283378669]","[5, 0.12383378537962149]","[2, 0.4534510460672885]","[3, 0.4507271025772608]","[4, 0.10649441168342214]","[4, 0.03855095308601479]","[1, 0.42205164509755866]","[1, 1.0]","[1, 0.006424079198498198]","[1, 0.6106010842451302]","[4, 0.072896302963003]","[1, 0.256759873273167]","[1, 0.006424079198498198]","[1, 1.0]","[5, 0.4116506525159754]","[5, 0.06885699893940715]","[100, 100]","[4, 0.0010782683676561107]","[3, 0.07686794474044804]","[100, 100]","[5, 0.999997988749206]","[4, 0.656952434572206]","[2, 0.050525541128494014]","[3, 0.5329208291730871]","[4, 0.5740998231885]","[3, 0.34282591880076674]","[2, 0.020874684419124052]","[1, 0.3647613061431376]","[3, 0.13970668533634478]","[5, 0.19242953367887006]","[1, 0.17383397061821051]","[2, 0.093062142643382]","[2, 0.0010420777821970283]","[2, 0.02343656668072631]"
Child gaze:parent,"[5, 1.2483580182343187e-05]","[4, 0.002353434481468364]","[100, 100]","[2, 7.692042163982068e-14]","[5, 0.0073681481194804565]","[2, 0.05300812927172326]","[2, 0.40104007957428683]","[1, 0.004881644079120042]","[5, 0.0027997455949079837]","[1, 1.0]","[2, 0.018727992074354743]","[4, 0.6048281590068371]","[4, 0.9996252733165405]","[2, 0.018105257034258963]","[1, 0.6147899844047636]","[5, 0.0012420054668915886]","[1, 0.07519559572873973]","[4, 0.0033269022977260587]","[1, 0.046861626264224715]","[3, 0.08796253333325751]","[5, 0.0009524770801362688]","[100, 100]","[2, 0.7356579515742094]","[1, 0.39725748423950835]","[100, 100]","[4, 0.9996252733165405]","[5, 0.1843253873652809]","[3, 0.48263849709880513]","[5, 0.6856463775446879]","[3, 1.599820780641712e-05]","[1, 0.21397561769303086]","[5, 0.10508358778344545]","[5, 2.786460115080934e-06]","[5, 1.9779208442805738e-07]","[4, 0.09635147354128815]","[5, 0.06065604978321009]","[1, 0.13840871699467558]","[1, 1.2971141687716872e-05]","[3, 0.28731870084609656]"
Child gaze:props,"[5, 0.44569101406933176]","[2, 1.994385482625871e-15]","[2, 3.1186742924847788e-15]","[100, 100]","[5, 0.345242723000477]","[1, 0.33658244612335086]","[3, 0.2982159881752311]","[1, 0.24975728585795492]","[5, 0.03691923889232667]","[5, 0.350098596962782]","[4, 0.30246735879952685]","[5, 0.02627168074079665]","[5, 0.9998684287855951]","[4, 0.9982896032652779]","[1, 0.008723013750701501]","[1, 0.0116632733071841]","[5, 0.06857341396393972]","[4, 0.10593877705492538]","[1, 0.10343278713026222]","[4, 0.26083168578464916]","[5, 0.011045659889391067]","[100, 100]","[5, 0.0038549568234581724]","[4, 0.6177868783413245]","[100, 100]","[1, 1.0]","[1, 0.9844627028388236]","[1, 0.3843801533773551]","[2, 0.23330078201034443]","[5, 0.013905142827026332]","[1, 0.29243683050238023]","[5, 0.011666080144889608]","[5, 0.02716514646839786]","[1, 0.39482963505483404]","[1, 0.982470029373374]","[5, 0.4375928332881476]","[2, 0.0013783162208454943]","[4, 0.5789598334275208]","[2, 7.021871222339774e-13]"
Child affect:positive 2,"[4, 0.6622780556788499]","[5, 0.10898026597190547]","[4, 0.02311293468803405]","[4, 0.19373885024293525]","[100, 100]","[4, 0.999971150518513]","[1, 0.0033835643802219216]","[4, 0.9999896986533573]","[4, 0.5035320523121922]","[1, 1.0]","[5, 0.9999890306132995]","[1, 0.16827324276698197]","[1, 1.0]","[1, 1.0]","[2, 0.1595890867143201]","[3, 0.00323198681028683]","[4, 0.18124991551641206]","[2, 0.07321235091422866]","[4, 0.03292639229673797]","[3, 0.11253832114268456]","[2, 0.005257245029205771]","[100, 100]","[5, 0.8994010153563188]","[5, 0.999999994151667]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.08402562792290026]","[1, 0.10609685206255753]","[3, 0.018350081219781506]","[1, 0.04083399252418845]","[4, 0.9999897367838608]","[3, 0.5077989775783553]","[3, 0.040981974112981906]","[4, 0.9999986299360686]","[3, 0.1547434270524626]","[5, 0.17093635840137597]","[3, 0.10380846124935339]","[5, 0.03413133250547505]"
Child affect:positive 3,"[2, 0.21862138148860477]","[3, 0.007743869522597851]","[1, 0.021435356468067938]","[1, 0.34739797844368714]","[1, 0.060683305224954985]","[100, 100]","[1, 0.000904461916105817]","[3, 0.0018994241369501177]","[4, 0.09483162437177728]","[1, 1.0]","[4, 0.017263107142906797]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.35385381579992203]","[4, 0.009424472208234088]","[4, 0.25613729694202564]","[1, 1.0]","[1, 1.0]","[4, 0.0017641573902176327]","[1, 1.0]","[100, 100]","[2, 0.10212875769899467]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.13230420648868438]","[1, 1.0]","[3, 0.1291413567424326]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 2.83949882307459e-07]","[4, 0.027783102821654665]","[2, 0.000576869355804764]","[1, 0.18715437431459941]","[5, 0.24834968002999566]","[1, 0.2027517134845047]"
Child affect:positive 1,"[4, 0.7924416862602106]","[3, 0.10624347690051883]","[2, 0.039898261349698906]","[5, 0.0767553096704653]","[1, 0.0033835643802218427]","[1, 0.09802096401674669]","[100, 100]","[3, 0.00012361081108468812]","[1, 0.18032582938433922]","[5, 0.006136149347780286]","[3, 0.3579066372053096]","[3, 0.999848523058196]","[1, 5.409675569679268e-05]","[1, 1.0]","[2, 0.07787313679948]","[2, 0.20666390538229865]","[5, 0.4362891840520874]","[3, 0.9999746976475354]","[1, 1.0]","[3, 0.02602987657481991]","[3, 0.9999281722386315]","[100, 100]","[1, 0.2651472797073173]","[3, 0.12436537994446654]","[100, 100]","[3, 0.9997953453643543]","[3, 0.5308444149405382]","[1, 0.002331955304492805]","[3, 0.5876271653655656]","[3, 0.9999831737158541]","[3, 0.3579066372053096]","[4, 0.08818984136989161]","[4, 0.7523707505251982]","[4, 0.39898849928093705]","[4, 0.173057641048097]","[4, 0.06941880930728633]","[3, 0.045553367520198486]","[5, 0.2969886836615006]","[2, 0.13271606651600887]"
Child gesture:point at prop,"[1, 1.0]","[4, 0.6646576091992409]","[2, 0.006969976561798969]","[5, 0.04083865167911672]","[3, 0.014704126644704763]","[5, 0.9925506855466039]","[5, 0.027902574019139214]","[100, 100]","[4, 0.001638415254139166]","[5, 3.0723117886204846e-20]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.666940593945988]","[5, 0.1338638003920494]","[2, 0.00041408218386510703]","[3, 5.1919541561079824e-05]","[1, 1.0]","[5, 0.9948262112959876]","[1, 1.0]","[100, 100]","[4, 0.998567058389845]","[5, 0.9996615726381672]","[100, 100]","[1, 1.0]","[5, 0.9989645708004015]","[4, 0.011513001424737787]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.006943202151465618]","[3, 0.010723396715648146]","[3, 1.133036627334568e-06]","[1, 1.0]","[4, 0.9997792362009107]","[4, 0.023143324002326937]","[3, 0.48121913761577084]"
Parent utterance:utterance,"[5, 0.00020045713711197257]","[5, 0.6383186490974733]","[3, 0.0009458406958870485]","[1, 0.021742870967205168]","[4, 0.0063310391022352525]","[3, 0.35834627375982436]","[2, 0.4272358367952952]","[4, 0.003411865616050615]","[100, 100]","[3, 0.04421154750169804]","[5, 0.03931207348843628]","[5, 0.08601330266688634]","[5, 0.2993918578883541]","[3, 0.029627208851648754]","[4, 3.133118506974443e-05]","[5, 0.010024568407907032]","[2, 0.15507190785498826]","[1, 0.12636274011375512]","[1, 0.026172368176923772]","[4, 0.5918333511508671]","[5, 0.02337707075249283]","[100, 100]","[2, 0.13110395290734855]","[4, 0.8225421438187119]","[100, 100]","[1, 1.0]","[4, 0.6632509339740971]","[2, 0.997694730868743]","[3, 0.0027603759960888796]","[5, 0.2579335725564137]","[1, 0.004867720854719694]","[1, 0.026172368176923772]","[5, 0.1280695296626288]","[5, 0.14843947072640704]","[1, 0.3123467752323852]","[5, 0.06801113430614862]","[5, 0.20626696856679458]","[2, 0.11497113183923699]","[5, 0.0022795883433310428]"
Verbal scaffolding:instruction translation,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.0007678307721368376]","[1, 1.0]","[1, 1.0]","[3, 2.4845979553108124e-20]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.07108595945661378]","[5, 0.007129493547157495]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.022775704723220356]","[1, 1.0]"
Verbal scaffolding:affective,"[5, 0.231459812424244]","[3, 0.060694709199937504]","[4, 0.010075773302626061]","[5, 0.001333995402416015]","[4, 0.010803176013025391]","[5, 0.03307253257782878]","[4, 0.502598542810891]","[1, 1.0]","[5, 0.7828693854246481]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.02099672149921609]","[5, 0.008514434689660995]","[4, 0.12227683059438214]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.06459685652110735]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 2.23615047711386e-18]","[5, 0.0015260145458656262]","[5, 6.077432108335712e-05]","[1, 1.0]","[3, 0.9941070924026126]","[4, 0.9927850582913648]","[3, 0.966262177349135]","[1, 1.0]","[3, 0.27927335602385817]","[2, 0.08251969310207753]","[5, 3.672653221588136e-05]"
Verbal scaffolding:cognitive,"[4, 0.4968834266989135]","[5, 0.9799089324255124]","[3, 0.4062722112781224]","[1, 0.03717681622178333]","[4, 0.10706022204726187]","[3, 0.01268233548912516]","[2, 0.024949953270658475]","[1, 1.0]","[5, 0.49178941023196376]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.9999372033240471]","[1, 1.0]","[1, 0.033156959207508406]","[1, 0.07766552985099472]","[1, 0.01768603440551568]","[1, 0.004419553841463587]","[1, 1.0]","[5, 0.46458934815743036]","[1, 1.0]","[100, 100]","[2, 0.2886192138437109]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.9999995292535846]","[1, 1.0]","[3, 0.10360728814949204]","[5, 0.2584495595338451]","[5, 1.3668562393980593e-06]","[3, 0.2981126977618865]","[5, 0.9998652019627623]","[5, 0.9990103806420795]","[5, 0.9999980860606952]","[5, 0.9638500547507434]","[1, 0.031621648776449914]","[1, 0.3470952336581653]"
Verbal scaffolding:technical,"[1, 1.0]","[1, 1.0]","[3, 0.045652281953571724]","[5, 0.20141164345166931]","[1, 1.0]","[5, 1.814873140650953e-16]","[5, 4.192628339204392e-05]","[1, 1.0]","[1, 0.001403311190355183]","[1, 1.0]","[1, 1.0]","[1, 9.326786751850496e-09]","[100, 100]","[1, 1.0]","[2, 0.0018922478442262682]","[5, 0.00038762162911950415]","[5, 4.694671794374927e-08]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.09594979881048714]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 7.663284665261027e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.008657500647945512]","[5, 0.00033423458508899417]","[1, 1.0]","[1, 1.0]","[2, 1.8848441165785221e-06]","[5, 9.875355450012624e-05]"
Non-verbal scaffolding:cognitive,"[3, 1.8480971009021042e-05]","[3, 0.47929686164925]","[4, 0.007010494590812066]","[3, 0.06617368266965522]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0006594154612758561]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 8.825660824666275e-22]","[1, 1.0]","[5, 1.6158031666443021e-12]","[1, 1.0]","[1, 1.0]","[5, 1.720610432985889e-35]","[1, 1.0]","[1, 1.0]","[4, 0.001194455581336404]"
