,Child utterance:utterance,Child gaze:tablet,Child gaze:missing data,Child affect:positive 2,Child affect:positive 3,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:tablet,Parent gaze:missing data,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet
Child utterance:utterance,"[100, 100]","[5, 0.3258751246338932]","[1, 1.0]","[4, 0.8118044139923983]","[5, 0.40834812429282435]","[3, 0.0032742680930210565]","[2, 0.001163928850533156]","[2, 0.004778302103817973]","[1, 1.0]","[1, 0.08051515504133583]","[1, 0.1545712730467441]","[3, 1.981070040004989e-06]","[3, 0.8574350681323343]","[2, 0.938471984527826]","[3, 0.021197979952119497]","[3, 0.04973919523582585]","[5, 0.08217827203546588]","[2, 0.13561339742897258]","[2, 0.1088137440736862]","[3, 0.8574350681323343]","[4, 0.3678737602728174]","[4, 0.601365337905932]","[1, 0.2654309654193735]","[100, 100]","[2, 0.950886397663178]","[1, 0.327303317151353]","[4, 0.0013512181602987569]","[4, 0.3637620883212155]","[2, 0.9246467762548685]","[1, 1.0]","[4, 2.7699950587226127e-11]","[5, 0.005525612893948747]","[2, 0.10571236810891398]","[5, 0.0625956981373562]","[2, 0.07662213590080152]"
Child gaze:tablet,"[2, 0.08831514981863481]","[100, 100]","[4, 2.799084623510793e-16]","[5, 0.3296090977535888]","[4, 2.594452768039461e-15]","[3, 0.18518176034235373]","[1, 1.0]","[4, 0.34143913795596587]","[1, 1.0]","[5, 0.999999764498588]","[1, 1.0]","[1, 1.0]","[4, 3.981288653300077e-05]","[1, 1.0]","[2, 0.5415854272416489]","[1, 0.34046546124423505]","[1, 1.0]","[2, 0.06931257828926765]","[1, 1.0]","[4, 3.981288653300077e-05]","[5, 0.5166136387557094]","[1, 0.09820991683978589]","[3, 0.27853709146631694]","[100, 100]","[3, 0.12760687556095549]","[1, 0.00034525527111904165]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.07808223852814372]","[1, 0.06661466584496882]","[3, 0.024883068529384378]","[1, 0.0023671200435553324]","[1, 0.22470674208926789]"
Child gaze:missing data,"[1, 1.0]","[4, 1.2164872463642273e-13]","[100, 100]","[1, 1.0]","[5, 2.396174400356125e-30]","[4, 0.115059561441208]","[1, 1.0]","[5, 0.9475901535061593]","[1, 1.0]","[5, 0.5201662077733782]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 3.1235458400416885e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.00020583960821752352]","[100, 100]","[4, 1.1217018693233289e-06]","[1, 0.00015705228423075598]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.5675497613896743]","[1, 1.0]","[5, 0.3700119956214263]","[1, 1.0]","[1, 0.06149854195546574]"
Child affect:positive 2,"[5, 0.999999295530434]","[1, 0.021781462791119595]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.026083198617923478]","[1, 1.0]","[1, 0.4861814681221085]","[1, 1.0]","[5, 0.8162791607207728]","[1, 0.021781462791119595]","[1, 1.0]","[1, 0.10567078634225492]","[1, 1.0]","[2, 0.03784967729090332]","[2, 0.15391505495728916]","[1, 1.0]","[2, 6.655213559061898e-05]","[2, 0.9261445107279858]","[1, 0.10567078634225492]","[1, 0.012833266746924817]","[1, 1.0]","[2, 0.988804402241318]","[100, 100]","[2, 0.9838214452765316]","[2, 0.008729103235432812]","[1, 0.10567078634225492]","[2, 0.00017239850329922078]","[1, 0.007960880342235018]","[2, 0.0012474667647601272]","[3, 0.5919681687414458]","[1, 0.13775350797068892]","[1, 0.10567078634225492]","[1, 1.0]","[2, 0.24488296224266728]"
Child affect:positive 3,"[1, 0.9975173813208262]","[3, 2.1855888143377453e-07]","[4, 3.3147150059037426e-67]","[1, 1.0]","[100, 100]","[1, 6.210051115439011e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9972192967371877]","[1, 0.12116145320157957]","[1, 1.0]","[2, 1.9446837705447364e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.0002929484958530729]","[100, 100]","[1, 0.9931253488801413]","[3, 0.0026099741442959577]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.995268786878542]","[1, 1.0]","[1, 0.9922046580231657]","[1, 0.12650393231054233]"
Child affect:positive 1,"[3, 4.797887360279937e-06]","[5, 0.001236516908588598]","[1, 1.3485109723111522e-08]","[3, 0.11291386824146955]","[4, 0.003622476382244872]","[100, 100]","[1, 1.0]","[4, 0.5637343614448856]","[1, 1.0]","[1, 0.40626745119080143]","[3, 0.5888832708304803]","[4, 0.01066856452371592]","[2, 0.09674673707409172]","[1, 1.0]","[5, 0.5638038598647283]","[4, 0.6266308554919919]","[1, 1.0]","[3, 0.0006877873465647428]","[3, 0.28327078784118337]","[2, 0.09674673707409172]","[5, 0.10025484834293935]","[3, 0.05126963364468401]","[3, 0.5077456258635333]","[100, 100]","[3, 0.35958784223116247]","[2, 0.1058279493036134]","[1, 0.3282306433704194]","[2, 0.4225288411537871]","[4, 0.008404838834879193]","[3, 0.058622789085647255]","[3, 0.051687769379483155]","[1, 0.073218578385606]","[1, 0.3295730012517194]","[1, 0.003019330608578128]","[2, 0.1975188089089697]"
Child gesture:point at prop,"[1, 4.59811286588748e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.04788850670170618]","[1, 1.0]","[4, 0.0760471732251882]","[1, 1.0]","[1, 1.0]","[3, 0.8810148425137906]","[1, 1.0]","[4, 0.0251770371625384]","[5, 0.0006627520727673757]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.8810148425137906]","[1, 0.08357287701540995]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.005096755218685817]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.00041101740353382735]","[5, 7.812300632309245e-07]","[4, 0.622256428542036]","[1, 1.0]","[5, 0.0008864260360780958]"
Parent utterance:utterance,"[2, 0.2403125378023966]","[3, 0.008994396763087567]","[3, 0.34119609527208106]","[5, 0.054537870334960895]","[1, 0.16551087419023083]","[2, 0.27400229390137826]","[2, 0.0004999438929404752]","[100, 100]","[5, 0.0727235600385886]","[2, 0.1168609790472199]","[5, 0.672256355105959]","[2, 0.04022409066695164]","[3, 0.03195186508394121]","[1, 0.4473652972386407]","[2, 0.00023234923288750002]","[2, 0.021586258003997383]","[1, 0.08858030268824335]","[1, 0.14073240337678405]","[1, 0.2292030153258646]","[3, 0.03195186508394121]","[1, 0.060634837144013506]","[2, 0.4125003261232585]","[4, 0.03754906068632736]","[100, 100]","[1, 0.4240286795643041]","[2, 0.2022034248590705]","[1, 0.47911813952057924]","[4, 0.005725431738140764]","[5, 0.05609282284632436]","[4, 0.2673592098404611]","[3, 0.004980657106416627]","[4, 0.004974632778228895]","[1, 0.5357616640725874]","[4, 0.3536551677421803]","[3, 0.021254818164502032]"
Parent utterance:missing data,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.9667489065630273]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 4.5837495665100346e-42]","[1, 1.0]","[1, 0.05787968015396485]","[5, 1.0284370631597517e-307]","[1, 1.0]","[2, 3.820993846282617e-06]","[1, 1.0]","[1, 1.0]","[4, 8.677315189338001e-13]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.011616170501393443]","[1, 1.0]","[5, 1.0061835670407074e-27]","[4, 0.7451351729038957]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.06149854195547006]"
Verbal scaffolding:cognitive,"[4, 0.022311226194828022]","[4, 0.540512931560438]","[5, 0.0006965577816263581]","[3, 0.5812421952079001]","[3, 0.0004072971224456244]","[1, 0.42361644166683143]","[3, 0.05385090668378662]","[1, 0.565745132940647]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.7969776003603939]","[1, 1.0]","[2, 0.45143176493159587]","[1, 0.5760847407794087]","[1, 1.0]","[2, 0.1559671825016782]","[1, 1.0]","[3, 0.7969776003603939]","[3, 0.01091323902281097]","[5, 0.9088667507880039]","[4, 0.08182828844333141]","[100, 100]","[4, 0.02635814193892876]","[4, 0.0008150418749797531]","[2, 0.5960497863239549]","[3, 0.9886465823313286]","[4, 0.20005960767217296]","[5, 0.9970183138323967]","[3, 0.05963716795510861]","[4, 0.23020701857131554]","[3, 0.11758723702945366]","[4, 0.01608916805724251]","[1, 0.5814672202608766]"
Verbal scaffolding:technical,"[4, 0.08451970916186677]","[1, 1.0]","[1, 1.0]","[5, 0.009576750278597815]","[1, 1.0]","[1, 0.1735681665559206]","[1, 1.0]","[1, 0.3703266220608389]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.31502836625977965]","[1, 1.0]","[5, 0.22133912475212703]","[5, 0.0025278961808543193]","[1, 1.0]","[4, 0.951545597768645]","[1, 1.0]","[2, 0.31502836625977965]","[4, 0.27603942422170497]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.061498541955467834]","[1, 0.04723472138740177]","[3, 1.0479042818177744e-14]","[1, 1.0]","[1, 1.0]","[1, 0.09096894797535957]","[1, 1.0]","[4, 0.9816524352966288]","[1, 0.0025651186310990965]","[5, 0.0025958807017753393]"
Verbal scaffolding:affective,"[2, 0.2407732298783386]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.5392509362936615]","[1, 1.0]","[4, 0.9913275154184461]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.3617965572786658]","[4, 0.1376473560046791]","[1, 0.18066872055758806]","[1, 1.0]","[2, 0.1682771667131719]","[1, 1.0]","[1, 1.0]","[1, 1.682614834189231e-05]","[4, 0.848781963567672]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.0048447237392998345]","[3, 7.289599330977135e-05]","[4, 0.450825064475595]","[1, 1.0]","[2, 0.38304018079383984]","[2, 0.3282568524148022]","[1, 1.0]","[4, 0.5253293453662629]","[1, 0.18686533778397904]"
