,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 3,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Child affective touch:affective touch,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:technical,Non-verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent affect:positive 3,Parent gesture:other,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[4, 0.08532006385338904]","[5, 4.795719989765834e-06]","[5, 0.005076680228438503]","[5, 0.0653823630657515]","[5, 0.7918678249979799]","[5, 0.06310551944263715]","[3, 0.0005673269747997369]","[4, 0.9612628216221387]","[3, 0.12812675211401672]","[5, 0.006800468277214905]","[1, 1.0]","[1, 1.0]","[3, 0.4268190567322222]","[3, 0.29847345798985114]","[4, 0.9955571650585192]","[2, 0.014544348884523876]","[4, 0.07487826017271959]","[5, 0.28024799870535644]","[5, 0.060383997310070776]","[1, 0.09821173961388392]","[3, 5.482028003664019e-05]","[100, 100]","[3, 0.13726099571413128]","[1, 0.2114876385598255]","[2, 0.012815766985230265]","[4, 0.9828999522198986]","[5, 0.9539470049685537]","[100, 100]","[2, 0.0054599694963850575]","[1, 0.17683187440637163]","[4, 0.049193495526160674]","[3, 0.06046773555060992]","[1, 0.05613317065427376]","[4, 0.9830097599704003]","[2, 0.47953987447723745]","[5, 0.39757747749104055]","[5, 2.052543623092056e-07]","[4, 0.9984940146164965]","[5, 0.11912733038064172]","[1, 0.2705443688966365]","[3, 0.003319496603267324]","[5, 0.006722208526380317]"
Child gaze:robot,"[5, 0.06258880479151842]","[100, 100]","[5, 0.00036063247322717224]","[3, 8.847609437751654e-18]","[1, 0.9310776185503469]","[1, 0.0030159770916696636]","[5, 0.011604561767628347]","[1, 0.9481265718648403]","[5, 0.9994231072833359]","[4, 0.02660888087179057]","[4, 0.6135133088572282]","[1, 0.0021407153648901707]","[3, 0.0004076065479616434]","[4, 0.015000915343955562]","[1, 0.9265320393257888]","[1, 0.025920611123808498]","[4, 0.5927975654468316]","[4, 0.3178022508082287]","[1, 0.17008413689900637]","[5, 0.03600545794558104]","[4, 0.3199836378231816]","[1, 0.9975407560828685]","[100, 100]","[1, 0.02592061112381255]","[2, 0.0021794714957144184]","[5, 0.016184318009620315]","[5, 0.0013893108283795634]","[2, 0.6540829922513136]","[100, 100]","[3, 0.995937269799762]","[1, 0.015616204150282934]","[1, 0.00020885826364413522]","[5, 0.21806860104599363]","[3, 0.36527318112039525]","[1, 1.0]","[2, 0.5103243643630229]","[2, 0.26243633465467037]","[5, 0.022692979906180688]","[4, 0.1694123237345151]","[4, 0.33423710741155516]","[2, 0.1639790664030964]","[3, 0.0008733901451070455]","[1, 0.00983152499380774]"
Child gaze:parent,"[5, 3.649692904114435e-05]","[1, 0.022478448764343927]","[100, 100]","[1, 7.844960082226925e-09]","[1, 0.0001729418638649671]","[1, 0.0008748617456093012]","[1, 0.00016136805999309006]","[4, 0.11086878764521575]","[5, 0.9879271193763475]","[5, 0.0021234370253583033]","[4, 0.028632871146298818]","[1, 1.0]","[1, 1.0]","[1, 0.08026715312034491]","[5, 0.999110802939084]","[5, 0.9935581476064885]","[1, 0.21639484935095996]","[4, 0.02423646640743092]","[5, 0.0002298301127224578]","[5, 0.25348717386544983]","[1, 0.38205879260820874]","[1, 0.9972626235749413]","[100, 100]","[1, 1.0]","[3, 0.12877167556921654]","[2, 0.3606427547955407]","[5, 0.9772709268790725]","[1, 0.268715548803131]","[100, 100]","[5, 0.9862573981643723]","[1, 0.15309383026182735]","[2, 0.003693471023606728]","[4, 0.2098277550308906]","[5, 0.9910262290266715]","[5, 0.9862276880956091]","[5, 0.8141262714210831]","[4, 0.49363438089651435]","[5, 2.7370072459086695e-08]","[5, 0.7705825534423674]","[2, 0.011212595192493463]","[1, 0.24294955891720177]","[5, 1.5223465757522238e-05]","[5, 0.004996635824195339]"
Child gaze:props,"[2, 0.16741652196154974]","[2, 3.1828447854696173e-29]","[5, 2.508154734996287e-08]","[100, 100]","[1, 0.999193323522316]","[5, 0.9898439910032056]","[1, 0.028344387410499515]","[5, 0.1772568486525528]","[5, 0.9401020024765091]","[5, 0.03805488334052554]","[3, 0.17603754843901054]","[4, 0.1574074682277161]","[4, 0.001826610340493422]","[3, 0.23360097639427102]","[3, 0.981805957035828]","[1, 0.0001069132240691178]","[4, 0.18709635641562816]","[4, 0.28924127341402206]","[5, 0.0006188916645250335]","[4, 0.3747216966209205]","[2, 0.34258512237844485]","[1, 0.9978651023252677]","[100, 100]","[1, 0.05333980022118208]","[4, 0.5806901092825172]","[3, 0.005274137817865907]","[4, 1.1620462834824075e-05]","[4, 0.3839650304705816]","[100, 100]","[1, 1.0]","[1, 0.02574219142739084]","[1, 0.4110068552405648]","[4, 0.021998518649451838]","[3, 0.4640280404479632]","[3, 0.9880603960333448]","[4, 0.07605210275416174]","[1, 0.15787940401616182]","[5, 0.09233216791274118]","[5, 0.002389962074853352]","[1, 0.01991882124277603]","[2, 2.527363292707053e-06]","[5, 6.955598816799088e-06]","[4, 0.0009030591209624329]"
Child affect:positive 3,"[3, 3.0453334140939287e-07]","[1, 0.9988314603139851]","[2, 0.9999999294542277]","[1, 0.9991932475827683]","[100, 100]","[1, 6.217235707996758e-25]","[1, 1.0]","[4, 0.999999999989785]","[1, 1.0]","[3, 0.9999999995595358]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.003353287956433909]","[4, 0.2383745994355181]","[1, 1.0]","[5, 8.420475904954302e-05]","[5, 0.26532852246249494]","[4, 1.18887775106222e-50]","[100, 100]","[1, 1.0]","[1, 0.00011596711603401228]","[1, 0.9977962463067614]","[1, 1.0]","[1, 0.001282224146434727]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9986168433980928]","[1, 0.9977962462803499]","[1, 0.997604256392211]","[5, 0.004981447825966346]","[1, 1.0]","[2, 0.9999999796778725]"
Child affect:positive 2,"[4, 0.00043769567843444376]","[1, 0.3325941859669152]","[4, 0.8498941477754176]","[3, 0.43807014940431843]","[2, 0.00024640460638935104]","[100, 100]","[1, 1.225214775234384e-06]","[1, 1.0]","[1, 1.0]","[4, 0.06327162038823039]","[3, 0.019283795834867515]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.9849501190047099]","[1, 1.0]","[4, 0.17719051958086005]","[5, 0.08411746048632186]","[1, 0.19001247795378504]","[5, 2.5656935981275558e-05]","[4, 0.1329440066634734]","[3, 2.0100035071811813e-16]","[100, 100]","[2, 0.9774162782948639]","[1, 0.022073273971240297]","[1, 0.01833342927394425]","[1, 1.0]","[2, 0.9954875985490147]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.02113796669874697]","[5, 0.9999999999844953]","[5, 0.0002847646654761854]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.9999999999705045]","[5, 0.9999999999873156]","[1, 1.0]","[4, 0.18406452350649843]","[3, 0.6788712684351279]","[5, 0.056293742139913845]"
Child affect:positive 1,"[2, 0.14164980998640467]","[1, 0.41340257684047466]","[4, 0.16376323084595215]","[5, 0.01072398369160758]","[1, 1.0]","[5, 0.9999917052751776]","[100, 100]","[2, 0.01298576960207672]","[1, 1.0]","[1, 0.09021583293334086]","[3, 0.6062350160251748]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.07159957911116413]","[5, 0.9999981412219612]","[3, 0.6560825917042397]","[1, 0.09493817410928942]","[2, 0.0433856742954667]","[5, 0.9999981306680947]","[1, 0.20448394925345204]","[1, 1.0]","[100, 100]","[4, 0.011498002228104156]","[5, 0.9999987305081468]","[5, 0.11049296516316177]","[5, 0.9999893086670536]","[1, 0.10837098867720069]","[100, 100]","[1, 1.0]","[2, 0.1165711186935196]","[5, 0.08181045018893257]","[2, 0.1165711186935196]","[1, 1.0]","[1, 1.0]","[5, 0.9999999198469597]","[2, 0.016398846392605387]","[1, 0.2112353156577153]","[5, 0.9999999034843567]","[1, 0.029997258055766748]","[3, 0.05588041938418402]","[5, 0.00777259632214578]","[1, 0.3094609695464493]"
Child gesture:point at prop,"[1, 0.006803923361173544]","[1, 0.012124076981598885]","[3, 0.0051237739321143005]","[4, 0.031358538175871364]","[1, 1.0]","[1, 1.0]","[2, 0.00016642179677927208]","[100, 100]","[1, 1.0]","[2, 0.01576964903439428]","[1, 0.03807894059684287]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.00014938798236747682]","[1, 1.0]","[1, 0.17047647182503622]","[3, 0.6493071396407506]","[3, 7.0398166581155624e-09]","[1, 1.0]","[5, 0.5856511481286832]","[1, 1.0]","[100, 100]","[3, 1.023451048114112e-06]","[1, 1.0]","[1, 0.0022949513011842953]","[1, 1.0]","[1, 0.014070402085423197]","[100, 100]","[1, 1.0]","[2, 0.006506425610195587]","[3, 0.13908621034429428]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.1259046175240768]","[4, 0.40000747945686543]","[1, 0.00011603903502846142]","[1, 1.0]","[1, 0.0009107751787540302]","[1, 0.19629113064022466]","[1, 0.11309342099966394]","[2, 0.08530361363583423]"
Child affective touch:affective touch,"[3, 0.010433368605260899]","[3, 0.023999491051642254]","[3, 0.005817253426514634]","[3, 0.0017810359652311574]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.0007074448590373645]","[5, 8.301125104649565e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.007455077948481666]","[2, 0.00017000571047905865]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 5.346780999247335e-08]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 1.5851694811741016e-11]","[1, 1.0]","[5, 2.3589000587309975e-08]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.0005094020725982647]","[3, 0.002197536204655655]"
Parent utterance:utterance,"[2, 0.002807912253045123]","[1, 0.29372053528736175]","[5, 0.0001827062942784152]","[3, 0.028551252552798473]","[3, 0.4119202039767046]","[5, 0.23593698372140343]","[3, 0.2108925272133712]","[4, 0.0652158023248418]","[5, 0.0006989123382884965]","[100, 100]","[3, 0.32106770867517553]","[5, 0.12412854201299205]","[1, 0.9289810985544763]","[4, 0.013896532471299667]","[5, 4.097587157614878e-06]","[4, 0.3643542815373304]","[4, 0.31591799684828165]","[5, 0.0009104089581039576]","[2, 0.001712659267085835]","[3, 0.4716407571628799]","[5, 0.9901962180627023]","[3, 0.9999999999923584]","[100, 100]","[4, 0.2723595423123343]","[3, 0.029729615671864912]","[3, 0.020515403041058287]","[1, 1.0]","[1, 0.3169277240410106]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.2879281592918426]","[5, 0.9205357370591533]","[2, 0.18802337486252427]","[3, 0.017741373754339537]","[2, 0.48898800090063665]","[2, 0.0018200669168783078]","[5, 0.0009847815965004839]","[1, 0.8045057541740369]","[5, 0.0420055649812482]","[3, 0.33807104673765104]","[2, 0.10899978136460448]","[5, 1.945792133630436e-05]"
Verbal scaffolding:cognitive,"[2, 7.455373796081555e-06]","[5, 0.09049041419070177]","[5, 4.932498700386844e-05]","[4, 0.051111368519762945]","[1, 1.0]","[4, 0.22606334922428148]","[5, 0.008547432343977843]","[5, 5.844070906076932e-05]","[1, 3.078225298001957e-07]","[5, 0.9292227293089578]","[100, 100]","[5, 0.9888677302972808]","[1, 1.0]","[1, 1.0]","[5, 0.0028114865070813064]","[1, 1.0]","[5, 0.9999847423222346]","[4, 0.06944799186726498]","[1, 0.0008397132347810012]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.00019498972601142303]","[3, 0.0054505285714385055]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.3095491371414003]","[5, 0.9998553701541287]","[2, 0.013415061032964205]","[3, 8.813845154869376e-06]","[5, 0.9999015454558402]","[2, 3.97803181070981e-06]","[5, 0.004138582077534543]","[5, 0.6107639730618037]","[2, 0.008967064343401105]","[5, 0.9999981605981263]","[2, 0.11627502661103027]","[5, 2.0983714039532886e-09]"
Verbal scaffolding:affective,"[1, 1.0]","[4, 0.0026287933877110962]","[1, 1.0]","[1, 0.006151897059746933]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.0012829434362513037]","[5, 3.7267748777333034e-08]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.010313982623142835]","[5, 0.0002774186155536999]","[1, 1.0]","[4, 0.1053183513897334]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 1.854927679510376e-17]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 2.7458607088165686e-12]","[1, 1.0]"
Verbal scaffolding:technical,"[1, 1.0]","[5, 0.002815529303863414]","[1, 1.0]","[5, 0.011734520508387568]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 1.5212626237889704e-59]","[3, 4.119368782254447e-05]","[4, 0.04244071838372056]","[2, 0.00017000571047905865]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 3.667958094298167e-52]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.0016911092626918315]","[2, 0.0005094020725983054]","[1, 1.0]"
Non-verbal scaffolding:affective,"[2, 0.2550683044972369]","[1, 0.12583805428344177]","[3, 0.37527286668429044]","[1, 0.17269774156777745]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 1.4251640827409321e-21]","[1, 0.11340721415490915]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.4198465717659048]","[2, 0.0840489398849904]","[4, 0.3633141533787383]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.9948553915844635]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.08394011699190138]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 1.8011705624503944e-10]","[1, 1.0]","[5, 0.9992973519476273]","[5, 0.9988648889408247]","[1, 1.0]","[4, 0.11308013932080661]","[4, 0.43409440684587763]","[5, 0.9999561220077747]"
Non-verbal scaffolding:cognitive,"[5, 0.9863912707487196]","[5, 3.760941520719678e-05]","[3, 0.24602469814402772]","[5, 0.41714600533040314]","[1, 1.0]","[5, 0.050774163722080295]","[5, 0.00010983806142460032]","[5, 0.6328273247590624]","[1, 1.0]","[5, 0.1043829602613237]","[5, 0.9466226265156635]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.9677505254509114]","[1, 0.07130061609020527]","[5, 0.9626231095628307]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 8.816486289553149e-15]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.025306067513328857]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.9405993635800367]","[5, 0.7670258463099767]","[1, 1.0]","[4, 0.01928057883981343]","[5, 0.9717343216874254]","[3, 0.18449354603909107]"
Non-verbal scaffolding:technical,"[1, 0.019245303431955515]","[1, 0.030001731218615418]","[1, 0.012503087602581552]","[3, 0.0005483580526752414]","[1, 1.0]","[1, 1.0]","[5, 0.0002635767165380585]","[1, 1.0]","[1, 1.0]","[2, 0.08062283648406597]","[1, 1.0]","[1, 1.0]","[5, 7.024930000475493e-112]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 0.1639532497701371]","[4, 0.4327982054607833]","[4, 0.02279281714815606]","[4, 0.02224212730209221]","[4, 0.610789097634434]","[1, 1.0]","[100, 100]","[4, 3.008034550488886e-14]","[1, 1.0]","[2, 2.2231980332290317e-07]","[4, 5.7464176060446704e-49]","[2, 0.00011012174288929]","[100, 100]","[1, 1.0]","[2, 2.2231980332290317e-07]","[1, 1.0]","[4, 4.136788617999243e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 6.195868294820533e-07]","[4, 0.7514100714277242]","[4, 0.3432701209048571]","[4, 1.1831996289775372e-12]","[1, 0.02479049694346629]","[5, 0.0002157265467686608]","[1, 1.0]"
Parent gaze:robot,"[5, 0.3417514870775099]","[1, 0.0010954730209636443]","[5, 0.14534894264188608]","[5, 0.00013252441124161972]","[4, 0.4522482536139192]","[4, 0.2625899408471]","[5, 0.07053390188542917]","[5, 0.8294173367506574]","[1, 1.0]","[1, 0.26271243723869875]","[1, 0.36972800462069566]","[1, 1.0]","[5, 0.00025220499115442846]","[2, 0.2436284862209798]","[4, 0.4827337161704426]","[5, 0.0007404443978872816]","[100, 100]","[2, 8.149473152347428e-23]","[5, 0.012071386138180859]","[2, 0.03734828630445176]","[5, 0.015252129982624357]","[2, 0.9751289446568696]","[100, 100]","[5, 4.9593751197393695e-05]","[1, 0.2044839492534585]","[4, 0.018560127253125024]","[3, 0.020361588495851752]","[5, 0.0785015353770363]","[100, 100]","[5, 0.04043630663733774]","[3, 0.009795479763390095]","[4, 0.10891518973350875]","[5, 0.08092748989480901]","[2, 0.018861821214008964]","[2, 0.0034071666437052103]","[2, 0.0012376316599181935]","[1, 0.08251555350561218]","[5, 0.287838795217088]","[1, 0.008327166042452505]","[4, 0.0809365988627988]","[1, 0.0008141148250725565]","[5, 0.0008429283025929679]","[2, 0.003808576978163534]"
Parent gaze:child,"[1, 0.09964176624353477]","[5, 0.7874675946745986]","[5, 0.2802814096740356]","[2, 0.39062079636198666]","[1, 0.09497144573520515]","[1, 0.32998672225593983]","[1, 0.09269224113494096]","[4, 1.1889656330848756e-06]","[3, 0.9953926849231255]","[5, 0.009309958307172746]","[5, 0.13161163890112434]","[5, 0.9998899130426396]","[3, 0.00014246025017240253]","[5, 0.026113022657266994]","[3, 0.004130019810684629]","[3, 0.12082681238285808]","[2, 2.3886846835618975e-21]","[100, 100]","[2, 1.1365678476023225e-12]","[5, 0.0286887993406801]","[5, 0.8147661262636887]","[1, 0.9521027231555065]","[100, 100]","[3, 1.7363539927573765e-10]","[2, 0.4976616486814357]","[3, 0.13433602831568772]","[1, 1.0]","[1, 0.048117872555131065]","[100, 100]","[3, 0.9953926849231535]","[2, 0.01747801238719276]","[2, 0.18432291475169213]","[5, 0.43941645470471724]","[1, 0.07486245953986065]","[3, 0.019539560561687572]","[5, 0.00019960542571380085]","[1, 0.11126391451076849]","[4, 0.03315633692211445]","[3, 0.004836547971470471]","[1, 0.1830255832150363]","[2, 2.3457133512616626e-11]","[1, 1.9354496121456882e-07]","[1, 0.8340232026130744]"
Parent gaze:props,"[1, 0.0001757363243121436]","[1, 0.041438336962584914]","[5, 0.033543579030369405]","[3, 1.3606039212240646e-06]","[1, 1.0]","[4, 0.7757729187829283]","[5, 0.1220412404309341]","[5, 3.3388841459248583e-09]","[5, 0.9929089753143706]","[5, 0.08946244995212638]","[4, 0.21377880658979448]","[1, 1.0]","[2, 0.00016656149299953764]","[5, 0.6178620397486185]","[2, 0.05631054505240342]","[4, 0.00016219128858644018]","[5, 5.0934987621103444e-08]","[2, 9.663047541557026e-06]","[100, 100]","[5, 0.08324666529368174]","[4, 0.3009658428667344]","[1, 1.0]","[100, 100]","[2, 2.242429742968009e-08]","[5, 0.3846539765423853]","[5, 0.0012306851540612447]","[1, 3.074152182993305e-05]","[5, 0.9283135744751196]","[100, 100]","[1, 1.0]","[1, 0.09044476846017642]","[2, 0.021865164617578182]","[2, 0.305864514822088]","[3, 0.009345550820262394]","[5, 0.9976591232890383]","[5, 0.09150422203953308]","[5, 0.16072933440906403]","[4, 0.001367382491325544]","[2, 0.004846708694785965]","[1, 0.9664122353075819]","[1, 0.00046090152739774987]","[4, 1.9086309634778395e-05]","[5, 1.3537274827661413e-05]"
Parent affect:positive 2,"[3, 0.42758761160542025]","[3, 0.02382994694269785]","[5, 0.6712109618540589]","[1, 0.17242060280898683]","[3, 8.802609039023556e-06]","[3, 0.02833223911859977]","[1, 0.010842252026505027]","[1, 1.0]","[1, 1.0]","[1, 0.11340721415488703]","[1, 1.0]","[1, 1.0]","[3, 1.1633877252410641e-20]","[1, 1.0]","[1, 1.0]","[4, 2.13655065098219e-27]","[1, 0.0007468665648532817]","[3, 0.17437017899870258]","[1, 0.037791734237057804]","[100, 100]","[1, 0.014070402085424046]","[1, 1.0]","[100, 100]","[3, 4.618761464115791e-10]","[1, 1.0]","[1, 1.0]","[4, 5.496601382581314e-28]","[3, 0.028629354166909014]","[100, 100]","[5, 4.0521830862115103e-19]","[3, 0.0016949463147758544]","[1, 1.0]","[2, 0.0005110989388394033]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.014070402085424046]","[3, 0.12877390534550145]","[3, 0.00294402740798046]","[5, 0.005510041314110246]","[4, 0.0021024437818614357]","[1, 0.052109451735203115]","[1, 1.0]"
