,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child affect:positive 3,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:scaffolding,Verbal scaffolding:instruction translation,Verbal scaffolding:technical,Verbal scaffolding:affective,Parent gaze:tablet,Parent gaze:child,Parent affect:positive 2,Parent affect:positive 1,Parent affect:positive 3,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[3, 0.6020880286092569]","[100, 100]","[3, 0.053644583982782976]","[3, 0.01176714085390185]","[100, 100]","[5, 0.1325221573348613]","[3, 0.0016376122985592991]","[5, 0.00023362292178510883]","[100, 100]","[2, 0.16859756066355389]","[1, 1.0]","[1, 1.0]","[4, 0.7027272025660285]","[5, 0.7671376207939391]","[3, 0.9190349501550796]","[2, 9.29202600363533e-06]","[100, 100]","[2, 0.9906662812834323]","[100, 100]","[5, 0.21422363303715838]","[5, 0.36246571836349545]","[5, 0.42014346768941846]","[100, 100]","[3, 0.19484985137043548]","[3, 0.8611733692000502]","[1, 1.0]","[5, 0.024876507208805323]","[3, 0.9539905339599349]","[3, 0.9544219284365244]","[3, 0.0082997875568171]","[2, 0.00047886081338147573]","[4, 0.18869236717268878]","[3, 0.01523082410575862]","[5, 0.39062931036166937]","[100, 100]"
Child gaze:tablet,"[3, 2.1678012497677523e-05]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.6200139824664835e-06]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 2.724506108491054e-05]","[1, 2.7568375966424567e-06]","[1, 1.0]","[5, 3.892136583828506e-211]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 3.1572638248611122e-06]","[1, 1.0]","[3, 3.323532642090969e-14]","[2, 7.056957977574059e-08]","[100, 100]"
Child gaze:parent,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affect:positive 1,"[3, 0.7004482837351187]","[3, 0.9999999445771964]","[100, 100]","[100, 100]","[1, 0.21472826013947977]","[100, 100]","[4, 0.024841146147025928]","[2, 0.018857173092833312]","[5, 0.11198861081956706]","[100, 100]","[2, 0.0011203625234551481]","[2, 0.9986170948431395]","[3, 0.3409008092569199]","[3, 0.1558465013059666]","[1, 0.021944750611558348]","[3, 0.998765326262706]","[3, 0.999999944577196]","[100, 100]","[4, 0.050313313879216344]","[100, 100]","[1, 0.09550566129026883]","[2, 0.9986170948431395]","[3, 0.3889604239996239]","[100, 100]","[2, 0.2221542082540213]","[1, 0.19634797032473733]","[4, 0.49402524035367545]","[5, 0.6256686624148441]","[1, 0.024984493707876063]","[1, 1.0]","[5, 0.8829622530400189]","[1, 0.009580311147665698]","[1, 0.003278531206262195]","[3, 0.33918839689763364]","[1, 0.15788018925895772]","[100, 100]"
Child affect:positive 2,"[2, 0.35959591829798526]","[4, 0.9999999999999944]","[100, 100]","[1, 0.0005014664678123862]","[100, 100]","[100, 100]","[1, 2.7079828208037833e-08]","[1, 0.4866788746049777]","[1, 1.0]","[100, 100]","[5, 0.6244325557893922]","[4, 0.008227009438228744]","[4, 0.027493851716634946]","[1, 3.45356861176694e-05]","[1, 0.004952895172344997]","[1, 1.0]","[4, 1.4437905920239118e-09]","[100, 100]","[3, 0.21030496288904166]","[100, 100]","[2, 0.6122785378384525]","[2, 0.10479934442964177]","[3, 0.2116801571503667]","[100, 100]","[2, 0.10479934442964177]","[1, 0.11357214746584088]","[1, 0.11311500055725848]","[4, 0.9999999999999999]","[4, 0.1090689321870957]","[4, 0.10982066713613937]","[5, 0.7000046386163135]","[5, 0.10608085588433198]","[3, 0.35965167771990664]","[5, 0.03551991039873369]","[1, 0.0007472769072995351]","[100, 100]"
Child affect:positive 3,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gesture:point at prop,"[4, 0.0005938311033451594]","[1, 1.0]","[100, 100]","[3, 0.0009972900158263245]","[4, 0.09575346600368054]","[100, 100]","[100, 100]","[5, 0.5825929982447619]","[5, 0.5908397619644336]","[100, 100]","[4, 0.017930587457505677]","[5, 0.00022285738061146655]","[1, 1.0]","[1, 0.008542384485829497]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.0009624662238950483]","[100, 100]","[1, 1.0]","[5, 0.9929333734985576]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.9982802508708692]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.00048739835562145313]","[4, 0.055287426685753455]","[5, 0.9968404598841409]","[4, 0.0009391601886412348]","[1, 1.0]","[100, 100]"
Parent utterance:utterance,"[1, 0.005228099284076939]","[4, 0.9999999998975807]","[100, 100]","[2, 0.07570706273627906]","[1, 0.4960078625512272]","[100, 100]","[4, 0.2086766158469518]","[100, 100]","[1, 0.4942264057307888]","[100, 100]","[1, 0.6568532798110273]","[4, 0.7899625067206513]","[1, 0.8355076296551694]","[3, 0.9294746133095129]","[3, 0.2335052829174822]","[3, 0.012401410656286228]","[4, 0.9999999998975807]","[100, 100]","[5, 0.31620760244705715]","[100, 100]","[4, 0.8917487977983021]","[3, 0.01735869740435337]","[3, 0.0001448498867737255]","[100, 100]","[1, 0.031961920996922764]","[5, 0.003013601581326038]","[1, 0.11957854253261964]","[2, 0.08999107488702082]","[5, 0.8716634787733732]","[1, 1.0]","[1, 0.02660690346785894]","[4, 0.07532404303202751]","[1, 0.7756963272686533]","[1, 0.029349968430826965]","[5, 0.44099603772551466]","[100, 100]"
Verbal scaffolding:cognitive,"[1, 0.0028652707779730654]","[1, 1.0]","[100, 100]","[4, 0.2767749945592296]","[5, 0.959018750884444]","[100, 100]","[4, 0.45952516275886657]","[2, 0.39934271140513705]","[100, 100]","[100, 100]","[2, 0.6805991656552168]","[2, 0.33996876214709837]","[5, 0.9999945291010864]","[1, 0.32241439757884743]","[2, 0.6111587618791596]","[3, 6.559192202168082e-05]","[1, 1.0]","[100, 100]","[5, 0.12696227031896615]","[100, 100]","[4, 0.5698176348912012]","[3, 0.5407393908775786]","[3, 2.5772127829287703e-07]","[100, 100]","[2, 0.001608706088856427]","[5, 0.0010205935184285932]","[1, 0.2736904582392071]","[2, 0.3012504535891602]","[1, 0.9342245849698599]","[1, 1.0]","[1, 0.04724145364805922]","[4, 0.07851919528108046]","[1, 0.6944784721934667]","[1, 0.001874716314804426]","[5, 0.9109589775260786]","[100, 100]"
Verbal scaffolding:scaffolding,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Verbal scaffolding:instruction translation,"[1, 0.2047548543454531]","[4, 0.9999999992821332]","[100, 100]","[1, 0.04064683905531121]","[1, 0.2047548543454353]","[100, 100]","[3, 0.11568000254751687]","[2, 0.7619763240455036]","[4, 0.9371040599785212]","[100, 100]","[100, 100]","[4, 0.9999557573540538]","[1, 1.0]","[1, 0.22472829802459765]","[3, 0.020288272146870154]","[1, 1.0]","[4, 0.9999999992821332]","[100, 100]","[2, 0.1699588840342274]","[100, 100]","[4, 0.7743064541590184]","[3, 0.2822195782638661]","[1, 0.059275025016247436]","[100, 100]","[4, 0.999459107404935]","[1, 0.1608514925882804]","[1, 0.1608514925882804]","[2, 0.13968718714868164]","[5, 0.2873220722892188]","[1, 1.0]","[1, 0.1570892917768678]","[4, 0.9933116144691901]","[4, 0.9773287499446498]","[4, 0.9999999999646609]","[4, 0.04485543838365803]","[100, 100]"
Verbal scaffolding:technical,"[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.055841327440325696]","[1, 1.0]","[100, 100]","[2, 0.00023104885970540515]","[3, 0.7546996725479689]","[1, 1.0]","[100, 100]","[3, 0.31591376687668976]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 5.7393902830585436e-05]","[1, 1.0]","[100, 100]","[4, 0.00037871060367560726]","[100, 100]","[1, 1.0]","[3, 0.017968623288993447]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.13678831728138308]","[3, 0.06720243138025059]","[1, 1.0]","[1, 1.0]","[100, 100]"
Verbal scaffolding:affective,"[1, 1.0]","[1, 1.0]","[100, 100]","[4, 0.9985093353975483]","[4, 0.9959857300456949]","[100, 100]","[1, 1.0]","[4, 0.8300959906238877]","[4, 0.6029048201863614]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 0.9966208397602225]","[4, 0.9963222963705763]","[4, 0.9730003467015935]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[4, 0.2978051799354255]","[4, 0.9954044581920473]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.9985558988837177]","[4, 0.05482189668720112]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.9985469816510618]","[4, 0.9976280437447962]","[1, 1.0]","[4, 0.9920573604508679]","[100, 100]"
