,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Child gesture:other,Child affective touch:affective touch,Parent utterance:missing data,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Non-verbal scaffolding:cognitive,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent gaze:robot or prop,Parent gaze:tablet,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:other,Parent gesture:point at prop,Parent gesture:missing data,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:put down,robot text:positive feedback,robot text:correction,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[1, 0.5048426971179834]","[5, 1.9371426980195747e-06]","[5, 0.17513340380602632]","[5, 0.010020325858932845]","[4, 0.0001744452189605398]","[2, 6.0851122483525984e-05]","[100, 100]","[4, 0.00015359734670372015]","[1, 1.0]","[5, 0.050964277207791904]","[1, 0.030682409267458122]","[1, 1.0]","[1, 0.10439247430278459]","[100, 100]","[1, 1.0]","[5, 0.5709781620121436]","[2, 0.2351514138057819]","[1, 0.5127685187431088]","[100, 100]","[1, 1.0]","[2, 0.11934697489190427]","[3, 0.012105447140406747]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.9954640993548977]","[2, 0.3455047098156711]","[1, 1.0]","[3, 0.8683163567857964]","[100, 100]","[100, 100]","[3, 0.8683163567857964]","[1, 0.1283835761641619]","[1, 1.0]","[3, 0.9900055616950384]","[3, 0.0018256251143568213]","[3, 0.8173050308410116]","[5, 0.054770095254449855]","[4, 1.138837401359798e-05]","[4, 0.5715035028392284]","[5, 0.7297638074428381]","[1, 0.3370778071198504]","[1, 0.5077903091455254]","[2, 9.522544057145613e-05]"
Child gaze:robot,"[4, 0.1210868068154301]","[100, 100]","[1, 0.09074963115865954]","[5, 1.8395806381372285e-13]","[5, 0.017744785619374565]","[5, 0.23710124457800935]","[4, 0.1542018522520319]","[100, 100]","[2, 0.9803119572897411]","[4, 0.42550809935932976]","[1, 0.02599024379822191]","[3, 0.30787690408943413]","[1, 0.07202192862055426]","[2, 0.6282018924821615]","[100, 100]","[2, 0.0019317830683477338]","[5, 0.4864732765131199]","[1, 0.3768313055661189]","[3, 0.4283531019886059]","[100, 100]","[2, 0.9962529720323228]","[3, 0.7419157811288921]","[3, 0.8461851825153749]","[100, 100]","[2, 0.0019317830683477338]","[3, 0.08530580675908822]","[1, 0.997318823600326]","[2, 0.9991680697412076]","[1, 1.0]","[5, 0.12643784254146212]","[100, 100]","[100, 100]","[5, 0.12643784254146212]","[5, 0.22883766232685807]","[5, 0.2889697794664579]","[1, 0.07244996274907772]","[1, 0.3372857715179795]","[3, 0.998335626947912]","[4, 0.053529954092212124]","[2, 0.24066583010490367]","[4, 0.030235113007402822]","[3, 0.010008298903670823]","[1, 0.5392607270301437]","[1, 0.0015314770216094883]","[2, 0.3687818657765329]"
Child gaze:parent,"[3, 0.005856090361153042]","[1, 0.09069427733362236]","[100, 100]","[1, 0.056440095516657254]","[3, 0.31839305062762707]","[4, 1.2072691839613712e-06]","[5, 0.005923227395837888]","[100, 100]","[5, 0.9710716238066851]","[1, 1.0]","[4, 0.23952579596706325]","[5, 0.9998769546370488]","[1, 1.0]","[2, 0.13354627372433964]","[100, 100]","[1, 1.0]","[3, 0.2355491834696214]","[4, 0.36933321903173505]","[3, 0.45249610743910507]","[100, 100]","[1, 1.0]","[4, 0.1758272618893272]","[5, 0.9995518326552503]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 7.88866284720638e-13]","[2, 0.20917301652560827]","[1, 1.0]","[2, 0.11285086346114995]","[100, 100]","[100, 100]","[2, 0.11285086346114995]","[4, 0.13145296657684646]","[1, 1.0]","[5, 0.9999782052838384]","[2, 0.13354627372435313]","[1, 1.0]","[4, 0.012183638668029701]","[5, 0.04217114879734618]","[4, 0.00014688756108195448]","[5, 0.002459412927924672]","[4, 0.9250217892270143]","[3, 0.8792927763284639]","[4, 4.789126468325195e-07]"
Child gaze:props,"[1, 0.11322277514104297]","[2, 2.1187106187529594e-27]","[1, 0.3407326593337201]","[100, 100]","[2, 0.12698270016641194]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 0.9989245198520248]","[2, 0.00017559803070113847]","[2, 0.0067362938192350365]","[3, 0.12520693884190587]","[2, 0.013787741402258398]","[2, 0.04569141593935926]","[100, 100]","[3, 0.00033096152174485094]","[1, 0.11914541360998676]","[1, 0.60934570341433]","[3, 0.3678416656322115]","[100, 100]","[1, 0.9732415585716381]","[5, 0.5481950584481884]","[2, 0.5828854071541208]","[100, 100]","[3, 0.00033096152174485094]","[2, 0.9948853717262738]","[1, 1.0]","[2, 0.14583457113218704]","[2, 0.11467745131528964]","[1, 0.2567438423158555]","[100, 100]","[100, 100]","[1, 0.2567438423158555]","[2, 0.5821394216826112]","[4, 0.0792162369706381]","[2, 0.12676487671794837]","[1, 0.9713865146522946]","[3, 0.9980246731027679]","[2, 0.646261282653051]","[3, 0.3117771060750837]","[1, 0.2755895936848036]","[1, 1.0]","[1, 5.738380333482774e-05]","[3, 0.4752185579429945]","[2, 0.6570513000161557]"
Child affect:positive 1,"[3, 0.49547147589549356]","[1, 0.36965259773128367]","[5, 0.5533965315684182]","[2, 0.06449514022776817]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.99999999999656]","[1, 1.0]","[5, 0.47452054513010644]","[4, 0.999991590538591]","[1, 1.0]","[3, 0.022034759634034985]","[100, 100]","[1, 1.0]","[1, 0.04070544848074635]","[1, 0.3141176803601837]","[4, 0.9999607592035491]","[100, 100]","[1, 1.0]","[5, 0.9999999999996152]","[3, 0.24263234853148596]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.9999999999055159]","[2, 0.023352709722648614]","[1, 1.0]","[1, 0.02311564261071088]","[100, 100]","[100, 100]","[1, 0.02311564261071088]","[2, 0.12342064713522763]","[1, 1.0]","[5, 0.10502971287154142]","[1, 0.028638098763188735]","[1, 1.0]","[3, 0.0017627574992398131]","[5, 0.6334322119727182]","[5, 0.08664190304625008]","[1, 1.0]","[3, 0.35290529945147237]","[1, 0.3709141295106766]","[5, 0.6005874213849071]"
Child affect:positive 2,"[5, 1.5210777709872018e-06]","[1, 0.010953777507242666]","[5, 7.373750455413008e-06]","[5, 0.12058297157570544]","[1, 1.0]","[100, 100]","[4, 1.4434890258827017e-11]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.0037485452988948926]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.03707654853826608]","[4, 0.08607996293536027]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 8.024646693160636e-13]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 1.230180187160963e-05]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 3.356850974662849e-08]","[1, 3.1885803640669074e-10]","[1, 1.0]","[1, 1.0]","[5, 8.871543694151766e-05]","[1, 1.0]","[5, 2.5851188374334195e-19]","[4, 0.008339255552478688]","[5, 0.2612666630001876]","[4, 2.2947837903877947e-05]"
Child gesture:point at prop,"[4, 0.07393638168632982]","[5, 0.6173031701813481]","[5, 0.0005329961158837296]","[1, 1.0]","[4, 0.1487315601221652]","[5, 4.741716487003042e-25]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.21227103507384426]","[4, 0.0732083635496612]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.11296689396194137]","[1, 0.20162915621519356]","[1, 0.26483482434167704]","[100, 100]","[4, 1.5076530514504345e-05]","[2, 0.9412348787799072]","[3, 0.07951164606730488]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.9590801416545803]","[100, 100]","[100, 100]","[2, 0.9590801416545803]","[2, 0.9666734483039094]","[1, 1.0]","[4, 0.1487315601221652]","[3, 0.0025771635475366718]","[1, 1.0]","[2, 0.9703414845833094]","[2, 0.01454103305360119]","[2, 0.0006694991082587192]","[2, 0.6803155420898261]","[5, 0.015450540536768463]","[1, 0.25921511680610165]","[5, 0.3407172523170626]"
Child gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affective touch:affective touch,"[2, 0.9999993717028514]","[1, 0.9994798200905595]","[4, 4.7652922380298184e-08]","[2, 0.0558299340741211]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[2, 0.14940185404047143]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.13156928053466815]","[3, 0.01015750259719278]","[4, 0.07758881591307872]","[100, 100]","[1, 1.0]","[1, 0.9968063365690999]","[1, 0.9988123489194298]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.9858915893349398]","[1, 1.0]","[1, 1.0]","[5, 1.0378936717711869e-09]","[100, 100]","[100, 100]","[5, 1.0378936717711869e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 4.236259630957423e-05]","[1, 0.9969225135647315]","[1, 0.9963586401050795]","[1, 1.0]","[1, 1.0]","[3, 0.23267088236812597]","[4, 1.2989041305754114e-07]"
Parent utterance:missing data,"[1, 1.0]","[5, 0.15749579850731754]","[1, 1.0]","[4, 0.9638440636110915]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[2, 0.3766193781980036]","[2, 0.05637162716170512]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.541121506265344]","[1, 1.0]","[2, 0.07888312556558598]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 5.4754041776515784e-21]","[1, 1.0]","[1, 1.0]","[1, 0.2490975042266158]","[5, 0.9999610584931276]","[100, 100]","[100, 100]","[5, 0.9999610584931276]","[3, 0.009030151012374123]","[5, 0.00020391639180954561]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.43912842185189216]","[1, 0.13944716583414785]","[1, 1.0]"
Parent utterance:utterance,"[2, 0.012275716602190016]","[3, 0.43666423873181903]","[5, 9.05905401126192e-09]","[5, 0.31717059343387677]","[3, 0.6842083770363083]","[1, 0.01680060751765766]","[4, 0.15690575401973444]","[100, 100]","[2, 0.1467494366620903]","[3, 0.9999349214507185]","[100, 100]","[1, 0.47237332259279996]","[1, 0.8258726466698159]","[1, 0.6624201590961628]","[100, 100]","[1, 1.0]","[2, 0.06930424510315053]","[3, 0.01544920746722889]","[2, 0.524309868442997]","[100, 100]","[2, 0.06088888110114385]","[1, 0.23029295255508797]","[3, 0.36802814134258843]","[100, 100]","[1, 1.0]","[5, 0.9999965332276296]","[5, 0.038788373871858635]","[1, 0.12293287843011746]","[3, 0.40993380142805325]","[4, 0.15809044173489475]","[100, 100]","[100, 100]","[4, 0.15809044173489475]","[3, 0.866889253151172]","[2, 0.47003602432905234]","[3, 0.5521669936122411]","[4, 0.4704817327573728]","[1, 0.9391725757457378]","[2, 0.05325019062140252]","[5, 0.1024081692536428]","[5, 0.5013793354586378]","[2, 0.3455407403180178]","[5, 0.21437341280493782]","[3, 0.10402498429890548]","[4, 9.23816835913169e-09]"
Verbal scaffolding:cognitive,"[5, 0.35519714384474477]","[1, 0.5258441655670212]","[4, 0.13091416321671523]","[1, 0.4630226839485454]","[3, 0.552647504613492]","[1, 1.0]","[4, 0.13091109054545577]","[100, 100]","[1, 1.0]","[3, 0.9991024322162273]","[5, 0.6978240976688829]","[100, 100]","[5, 0.13268157718742327]","[3, 0.49428189480469253]","[100, 100]","[1, 1.0]","[1, 0.02991664746115329]","[3, 0.029658586150946714]","[2, 0.3871434968539775]","[100, 100]","[2, 0.014921888630940496]","[5, 0.5875119239774873]","[3, 0.44144935458174017]","[100, 100]","[1, 1.0]","[5, 0.9999982955213255]","[1, 1.0]","[2, 0.9981829691093964]","[1, 1.0]","[4, 0.06113106785432546]","[100, 100]","[100, 100]","[4, 0.06113106785432546]","[5, 0.7876800885524248]","[5, 0.999999890686402]","[2, 0.9959020464688809]","[4, 0.6610372641006972]","[2, 0.9917561766666112]","[2, 0.41734737490346985]","[3, 0.31734033538260425]","[2, 0.9900836032933652]","[3, 0.008276527290822962]","[1, 0.3606350072236405]","[3, 0.0627036607454769]","[4, 0.16921873224494502]"
Verbal scaffolding:technical,"[1, 1.0]","[5, 0.28367907176562895]","[1, 1.0]","[5, 0.14000392075668308]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.39040603715747]","[3, 0.0383951690409026]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.12342064713522763]","[3, 0.25537608310360727]","[4, 0.20043739136572553]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.08162810287415308]","[5, 0.1122964675982412]","[1, 1.0]"
Verbal scaffolding:affective,"[4, 0.2552659020138138]","[3, 0.046157840154571125]","[4, 0.10837154815802619]","[1, 0.26705068248981]","[5, 0.08140923912204776]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.9999867349312646]","[4, 0.999981231811515]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.2743974407181803]","[5, 0.45852475451825003]","[4, 0.8125244271785561]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.06461583445990766]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 3.3189714393266965e-05]","[1, 1.0]","[4, 0.20242431189105736]","[100, 100]","[100, 100]","[4, 0.20242431189105736]","[1, 1.0]","[1, 1.0]","[2, 0.007074192089768474]","[5, 0.3253640414566736]","[1, 1.0]","[4, 0.9990515934266527]","[4, 0.45367264474622726]","[4, 0.9986424782956032]","[1, 1.0]","[4, 0.9998921704418342]","[3, 0.05344543842489956]","[4, 0.1436695109628924]"
Verbal scaffolding:instruction translation,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Non-verbal scaffolding:cognitive,"[1, 1.0]","[3, 0.0033255946855911683]","[1, 1.0]","[3, 0.03371142831643373]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[4, 0.6048260405990693]","[4, 0.7193473044827643]","[100, 100]","[1, 1.0]","[4, 1.3693166499617261e-17]","[4, 4.903282261953761e-12]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.09066752352149357]","[1, 1.0]"
Parent gaze:robot,"[4, 0.05747149544020675]","[3, 0.0016917576106493413]","[3, 0.004418630958630237]","[2, 0.08054590970992084]","[1, 0.306895716591128]","[3, 0.05189626709017474]","[1, 9.503011409086037e-05]","[100, 100]","[2, 0.9938659828713484]","[4, 0.1399728461017659]","[2, 0.6442279560329726]","[5, 0.6767391349291197]","[3, 0.23983447767657884]","[3, 2.9407614559069185e-08]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.0003144349304155222]","[1, 4.185697449434032e-06]","[100, 100]","[1, 1.0]","[1, 0.1725300235755472]","[1, 0.04031152410583517]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0255075407158934]","[5, 0.1313357406328032]","[1, 0.2569175317813302]","[100, 100]","[100, 100]","[1, 0.2569175317813302]","[5, 0.301526954241285]","[1, 0.1482641710529929]","[2, 0.0002060897904842476]","[5, 0.47197421187480326]","[1, 1.0]","[1, 0.33541212261143544]","[2, 0.14066788851765255]","[2, 0.5725988695573554]","[5, 0.1147021666020292]","[2, 0.00011951986734658163]","[1, 0.0002667831463250285]","[1, 0.007093274953747876]"
