,action,who,s_time,e_time,t_time,sub_action,action:sub_action,order,condition,participant,coder
0,Child utterance,Child,6.16,7.32,1.16,utterance,Child utterance:utterance,3,t,103,SK
1,Child utterance,Child,52.92,54.72,1.8,utterance,Child utterance:utterance,3,t,103,SK
2,Child utterance,Child,68.82,70.34,1.52,utterance,Child utterance:utterance,3,t,103,SK
3,Child utterance,Child,70.72,71.92,1.2,utterance,Child utterance:utterance,3,t,103,SK
4,Child utterance,Child,110.22,111.86,1.64,utterance,Child utterance:utterance,3,t,103,SK
5,Child utterance,Child,136.42000000000002,137.06,0.64,utterance,Child utterance:utterance,3,t,103,SK
6,Child utterance,Child,138.7,139.38,0.68,utterance,Child utterance:utterance,3,t,103,SK
7,Child utterance,Child,144.86,145.34,0.48,utterance,Child utterance:utterance,3,t,103,SK
8,Child utterance,Child,146.22,147.06,0.84,utterance,Child utterance:utterance,3,t,103,SK
9,Child utterance,Child,153.5,156.02,2.52,utterance,Child utterance:utterance,3,t,103,SK
10,Child utterance,Child,160.14,160.57999999999998,0.44,utterance,Child utterance:utterance,3,t,103,SK
11,Child utterance,Child,183.38,184.54,1.16,utterance,Child utterance:utterance,3,t,103,SK
12,Child utterance,Child,187.62,187.94,0.32,utterance,Child utterance:utterance,3,t,103,SK
13,Child utterance,Child,203.28,203.72,0.44,utterance,Child utterance:utterance,3,t,103,SK
14,Child utterance,Child,204.06,204.94,0.88,utterance,Child utterance:utterance,3,t,103,SK
15,Child utterance,Child,247.26,247.9,0.64,utterance,Child utterance:utterance,3,t,103,SK
16,Child utterance,Child,249.62,251.06,1.44,utterance,Child utterance:utterance,3,t,103,SK
17,Child utterance,Child,252.62,253.54,0.92,utterance,Child utterance:utterance,3,t,103,SK
18,Child utterance,Child,255.5,256.26,0.76,utterance,Child utterance:utterance,3,t,103,SK
19,Child utterance,Child,258.94,259.58,0.64,utterance,Child utterance:utterance,3,t,103,SK
20,Child utterance,Child,260.36,260.92,0.56,utterance,Child utterance:utterance,3,t,103,SK
21,Child utterance,Child,262.44,263.08,0.64,utterance,Child utterance:utterance,3,t,103,SK
22,Child utterance,Child,265.32,265.76,0.44,utterance,Child utterance:utterance,3,t,103,SK
23,Child utterance,Child,273.3,275.06,1.76,utterance,Child utterance:utterance,3,t,103,SK
24,Child utterance,Child,290.98,291.58,0.6,utterance,Child utterance:utterance,3,t,103,SK
25,Child utterance,Child,293.92,294.48,0.56,utterance,Child utterance:utterance,3,t,103,SK
26,Child utterance,Child,296.48,297.28,0.8,utterance,Child utterance:utterance,3,t,103,SK
27,Child gaze,Child,3.52,24.44,20.92,tablet,Child gaze:tablet,3,t,103,SK
28,Child gaze,Child,24.52,25.0,0.48,parent,Child gaze:parent,3,t,103,SK
29,Child gaze,Child,25.04,31.6,6.56,tablet,Child gaze:tablet,3,t,103,SK
30,Child gaze,Child,31.68,32.16,0.48,parent,Child gaze:parent,3,t,103,SK
31,Child gaze,Child,32.24,57.52,25.28,tablet,Child gaze:tablet,3,t,103,SK
32,Child gaze,Child,57.6,58.64,1.04,parent,Child gaze:parent,3,t,103,SK
33,Child gaze,Child,58.68,108.52000000000001,49.84,tablet,Child gaze:tablet,3,t,103,SK
34,Child gaze,Child,110.44,159.52,49.08,tablet,Child gaze:tablet,3,t,103,SK
35,Child gaze,Child,159.6,159.92000000000002,0.32,parent,Child gaze:parent,3,t,103,SK
36,Child gaze,Child,160.88,177.78,16.9,tablet,Child gaze:tablet,3,t,103,SK
37,Child gaze,Child,177.85,178.32999999999998,0.48,parent,Child gaze:parent,3,t,103,SK
38,Child gaze,Child,178.37,197.13,18.76,tablet,Child gaze:tablet,3,t,103,SK
39,Child gaze,Child,198.28,226.8,28.52,tablet,Child gaze:tablet,3,t,103,SK
40,Child gaze,Child,226.92000000000002,227.64,0.72,parent,Child gaze:parent,3,t,103,SK
41,Child gaze,Child,227.72,246.8,19.08,tablet,Child gaze:tablet,3,t,103,SK
42,Child gaze,Child,246.94,247.98,1.04,parent,Child gaze:parent,3,t,103,SK
43,Child gaze,Child,248.1,250.82,2.72,tablet,Child gaze:tablet,3,t,103,SK
44,Child gaze,Child,250.86,251.62,0.76,parent,Child gaze:parent,3,t,103,SK
45,Child gaze,Child,251.72,255.72,4.0,tablet,Child gaze:tablet,3,t,103,SK
46,Child gaze,Child,255.8,256.76,0.96,parent,Child gaze:parent,3,t,103,SK
47,Child gaze,Child,256.8,260.44,3.64,tablet,Child gaze:tablet,3,t,103,SK
48,Child gaze,Child,260.54,260.94,0.4,parent,Child gaze:parent,3,t,103,SK
49,Child gaze,Child,260.98,261.5,0.52,tablet,Child gaze:tablet,3,t,103,SK
50,Child gaze,Child,261.52,263.64,2.12,parent,Child gaze:parent,3,t,103,SK
51,Child gaze,Child,263.7,288.86,25.16,tablet,Child gaze:tablet,3,t,103,SK
52,Child gaze,Child,289.88,291.24,1.36,tablet,Child gaze:tablet,3,t,103,SK
53,Child gaze,Child,296.32,297.56,1.24,tablet,Child gaze:tablet,3,t,103,SK
54,Child affect,Child,136.68,139.12,2.44,positive 1,Child affect:positive 1,3,t,103,SK
55,Child affect,Child,155.57999999999998,159.5,3.92,negative,Child affect:negative,3,t,103,SK
56,Child affect,Child,185.02,186.18,1.16,positive 1,Child affect:positive 1,3,t,103,SK
57,Child affect,Child,277.8,279.0,1.2,positive 2,Child affect:positive 2,3,t,103,SK
58,Child gesture,Child,11.28,12.56,1.28,point at prop,Child gesture:point at prop,3,t,103,SK
59,Child gesture,Child,254.0,263.28,9.28,point at prop,Child gesture:point at prop,3,t,103,SK
60,Child affective touch,Child,183.14,187.74,4.6,affective touch,Child affective touch:affective touch,3,t,103,SK
61,Parent utterance,Parent,3.32,4.96,1.64,utterance,Parent utterance:utterance,3,t,103,SK
62,Parent utterance,Parent,7.72,8.72,1.0,utterance,Parent utterance:utterance,3,t,103,SK
63,Parent utterance,Parent,10.08,11.92,1.84,utterance,Parent utterance:utterance,3,t,103,SK
64,Parent utterance,Parent,12.08,12.56,0.48,utterance,Parent utterance:utterance,3,t,103,SK
65,Parent utterance,Parent,14.72,15.12,0.4,utterance,Parent utterance:utterance,3,t,103,SK
66,Parent utterance,Parent,15.92,17.28,1.36,utterance,Parent utterance:utterance,3,t,103,SK
67,Parent utterance,Parent,20.28,22.12,1.84,utterance,Parent utterance:utterance,3,t,103,SK
68,Parent utterance,Parent,26.32,26.8,0.48,utterance,Parent utterance:utterance,3,t,103,SK
69,Parent utterance,Parent,28.56,29.28,0.72,utterance,Parent utterance:utterance,3,t,103,SK
70,Parent utterance,Parent,31.84,33.08,1.24,utterance,Parent utterance:utterance,3,t,103,SK
71,Parent utterance,Parent,33.7,34.98,1.28,utterance,Parent utterance:utterance,3,t,103,SK
72,Parent utterance,Parent,35.38,37.02,1.64,utterance,Parent utterance:utterance,3,t,103,SK
